user,rating,review,date,year
Juniper64,3,Sangeh wins.,Apr 2025 • Friends,2025
Pang O,5,Lots of monkeys,May 2025 • Couples,2025
Xavierphoto,4,Free-ranging monkeys,May 2025 • Friends,2025
Bingsegi_smile,5,Bali hot places to visit unconditionally,May 2025 • Family,2025
Jordan,5,Nothing to say is perfect,May 2025 • Couples,2025
Logane B,5,Big yes,May 2025 • Couples,2025
Elisabetta P,5,Beautiful.,May 2025 • Friends,2025
We Travel the World,5,Monkey temple,Apr 2025 • Friends,2025
mario,5,Monkeys Everywhere!,May 2025 • Couples,2025
CrystalPower,3,Grooming all day,Feb 2025 • Solo,2025
Rossella D,4,The tip for all ages,Apr 2025 • Family,2025
Escape42508350609,1,The child attacked and bitten,Apr 2025 • Family,2025
AndySouthland_NZ,5,Amazing,Apr 2025 • Couples,2025
Marie R,5,Exursion ubud,Apr 2025 • Friends,2025
James E,4,Enjoyed the walk and the experience,Apr 2025 • Family,2025
Carmen L,5,"Very experienced, there are many bugs and they are beautiful, it was my turn to see that a bug gave birth 🥹😍",Apr 2025 • Couples,2025
Tamara G,5,This is a must do - on your Bali Holiday,Apr 2025 • Couples,2025
J82,4,A nice place but too crowded,Apr 2025 • Couples,2025
Soupheads,5,Monkeys!!,Apr 2025 • Couples,2025
Sara,3,Cute but nothing exciting,Mar 2025 • Couples,2025
Kerrie C,4,Monkey Surprise!,Apr 2025 • Friends,2025
highpointkate,5,Very well behaved monkeys!,Apr 2025 • Friends,2025
RobfromWL,4,Monkey business galore,Apr 2025 • Couples,2025
Nadeen Whitehead,4,Well organised & cute baby monkeys!,Apr 2025 • Couples,2025
matildadavis07,4,fun,Apr 2025 • Friends,2025
Francesco D,3,Nothing much,Aug 2024 • Friends,2024
Anu N,5,Monkeys are amazing!,Mar 2025 • Friends,2025
Hayley M,5,Great experience,Mar 2025 • Family,2025
Lorrae and Mark D,5,"Great experience, professionally run",Mar 2025 • Family,2025
Misha,5,Planet of the Apes),Mar 2025 • Solo,2025
