user,rating,review,date,year
Alexandre G,5,Mantas & turtles,May 2025 • Couples,2025
Tingyu Z,5,Loved our experience with Mambo,May 2025 • Friends,2025
Navigate09389016314,5,best,May 2025 • Couples,2025
Ray,5,Nusa Penna Scuba Diving,May 2025 • Couples,2025
Jonny,5,2 dives,May 2025 • Friends,2025
Jörg R,4,Really good functioning dive resort,May 2025 • Couples,2025
HappyPanda,5,So good!,May 2025 • Solo,2025
Dario321,5,H,May 2025 • Friends,2025
Judy L,5,A must-visit place,May 2025 • Solo,2025
Tjonna K,5,Professional Dive Center,May 2025 • Solo,2025
Travel diaries,5,Responsible wildlife encounters with knowledgeable guides,Nov 2024 • Friends,2024
Kiana,5,Snorkelling,May 2025 • Friends,2025
Jonathan C,5,Great experience at Mambo!,May 2025 • Solo,2025
历谋 郭,5,Unforgettable dive,May 2025 • Friends,2025
Shuai Y,5,Amazing trip with Manta,May 2025 • Friends,2025
Brandy M,5,Best experience ever!,May 2025 • Business,2025
Venture03524634888,5,amazing diving experience,Apr 2025 • Couples,2025
Oli,5,Amazing Diving Experience!,Apr 2025 • Couples,2025
Richard A,5,Manta Dive,Apr 2025 • Solo,2025
Kristin E,5,Amazing experience!,Apr 2025 • Couples,2025
Luc A,5,A Must See,Apr 2025 • Couples,2025
Blake E,5,Amazing Dive!!,Apr 2025 • Family,2025
Scott A,5,Dive Mambo.,Apr 2025 • Couples,2025
akshitha,5,Organised. Professional. Surreal,Apr 2025 • Couples,2025
Lukas,5,Amazing Dive Experience with Mambo Dive Center,Apr 2025 • Couples,2025
Antje4,5,Good diving / snorkeling experience,Apr 2025 • Couples,2025
Kristina W,5,Great scuba holiday spot!,Apr 2025 • Couples,2025
Charlotte K,5,Diving at Nusa Penida,Apr 2025 • Couples,2025
Youssef H,5,Mambo Dive Resort - Great Experience,Apr 2025 • Family,2025
Juan Miguel,5,Unforgettable Diving,Apr 2025 • Family,2025
Megha P,5,My diving experience,Apr 2025 • Solo,2025
