user,rating,review,date,year
Alan L,5,"Very nice guy, Wira.",May 2025 • Family,2025
LUCIA C,5,Mt Batur Volcano tour.,May 2025 • Solo,2025
Quest04961633147,5,Mt Batur sunrise trekking,May 2025 • Friends,2025
Nikita T,5,Beautiful views,Unknown date,Unknown
Rob C,4,Well worth a visit (and the early start) for the views at the top and the challenge hiking to get there.,Unknown date,Unknown
Isaac Hardy,5,Unforgettable Mount Batur Experience,Unknown date,Unknown
Isaac S,5,Amazing Sunrise Hike up to Mount Batur,Apr 2025 • Couples,2025
JoshWallaceNZ,5,Worth the 2am start!,May 2025 • Couples,2025
Acidute,5,A bit scary but worth it,May 2025 • Solo,2025
Shirley B,3,Mount Batur,Apr 2025 • Couples,2025
Michael D,5,Great from start to finish,Apr 2025 • Couples,2025
Whitney K,5,10/10!!!,Apr 2025 • Couples,2025
Eli M,5,Challenging Fun,May 2025 • Couples,2025
Yassine N,5,A must do during Summer,May 2025 • Solo,2025
Miju823,5,Mt Batur solo with guide,May 2025 • Solo,2025
Judy M,5,Care and attention amazing,Apr 2025 • Friends,2025
Imre K,5,Beautiful views and well organized tour,Unknown date,Unknown
Ella H,5,Beautiful morning,May 2025 • Friends,2025
JAnet T,5,Best activity I have done in Bali.,Unknown date,Unknown
Raquelle K,5,Mount Batur hike was out of the world,May 2025 • Friends,2025
Brian D,5,Unforgettable Mount Batur Sunrise Hike – Highly Recommend with Ayu & Mangku Angga!,Unknown date,Unknown
mbakos,5,10/10 recommend the sunrise hike with the hot springs,Apr 2025 • Couples,2025
Dylan D,5,Mount Batur & Waterfall Experience – Incredible Tour with Mangku and Ayu!,Unknown date,Unknown
abhay singh,5,Unforgettable Escape to Bali!,Apr 2025 • Friends,2025
Michael K,5,Mount Batur Sunrise hike,May 2025 • Solo,2025
Kelsey M,5,Best in the business!,May 2025 • Couples,2025
Jada C,5,Awesome difficult sunrise hike,May 2025 • Friends,2025
Shuang C,5,Wonderful trip,May 2025 • Friends,2025
Sukhraj N,5,You need to book this!!!,Unknown date,Unknown
Laura,5,The Best Mt. Batur Tour,Apr 2025 • Couples,2025
Nithya B,5,Incredible and seamless experience,Apr 2025 • Solo,2025
Oline G,5,Great trip,Apr 2025 • Couples,2025
gracelyn n,5,"Great experience, Beautiful views",Apr 2025 • Solo,2025
Teresa R,5,Mount Batur,Unknown date,Unknown
Jennifer P,4,"An amazing driver, Wira",Apr 2025 • Couples,2025
Caitlin M,5,Most beautiful view!,Apr 2025 • Family,2025
Brydie G,5,Fantastic experience,Apr 2025 • Friends,2025
Moedhart Gallery,5,Nice,Apr 2025 • Family,2025
Heer S,5,Mt Batur Experience - Pick Up and Hike,Apr 2025 • Solo,2025
Daniel,4,Mt. Batur experience,Unknown date,Unknown
Robert,5,Great company to use for a unique experience,Apr 2025 • Couples,2025
Fiona D,5,Must do in North Bali,Unknown date,Unknown
Chloe S,5,Sunrise hike with hotel pickup,Unknown date,Unknown
岩田大治,5,Give me a great memory and experience,Apr 2025 • Solo,2025
Charlotte S,5,Would highly recommend this tour,Apr 2025 • Solo,2025
Katie M,5,Amazing,Apr 2025 • Solo,2025
PushGold N,5,Everything good!,Apr 2025 • Couples,2025
Mindy M,5,AMAZING 10/10,Apr 2025 • Couples,2025
Luis A,5,Amazing,Unknown date,Unknown
Dreamer03281473972,5,Mt. Batur hike,Apr 2025 • Family,2025
Mindy L,5,Amazing sunrise tour,Apr 2025 • Couples,2025
Bianca B,5,Nice experience,Apr 2025 • Couples,2025
Lucy H,5,Lovely start to the day,Apr 2025 • Solo,2025
sketchthat,5,Worth the early morning 🌄,Unknown date,Unknown
Chris H,5,Amazing trip and amazing hosts!,Apr 2025 • Friends,2025
Navigate53029884569,5,Great tour! Good experience,Apr 2025 • Family,2025
Wessel V,5,Brilliant tour guides and stunning views and pools,Unknown date,Unknown
Daisy T,5,Hike,Apr 2025 • Friends,2025
Mr Clayton,5,Worth the Early Start,Unknown date,Unknown
Karolina C,5,Amazing experience,Apr 2025 • Solo,2025
smileyboots,5,Good morning Bali!,Unknown date,Unknown
Molly M,5,Thank you!!,Apr 2025 • Couples,2025
Zoe C,5,Beautiful sunrise hike,Unknown date,Unknown
Coralie K,5,A perfect sunrise in Bali!,Apr 2025 • Family,2025
Hayley H,5,Mt Batur: Incredible Experience!,Unknown date,Unknown
FarAway64033823158,5,Highly recommend!,Apr 2025 • Couples,2025
Hannah J,5,Amazing experience,Apr 2025 • Friends,2025
Shyam Sudhakar,5,Very well managed climb!,Apr 2025 • Couples,2025
Getmeonthatplane,5,Sunrise over Bali,Unknown date,Unknown
Georgiy C,5,Great experience! Would highly recommend it!,Apr 2025 • Solo,2025
Richard C,5,Amazing and seamless sunrise hike experience,Apr 2025 • Friends,2025
Mark v,5,Recommended and fine via TripAdvisor,Unknown date,Unknown
Marina V,5,Felt Truly Taken Care Of – Amazing Team!,Apr 2025 • Solo,2025
jackson d,5,Mt. Batur sunrise hike and hotspring soak,Apr 2025 • Couples,2025
ns342016,5,So good I came back 6 years later,Unknown date,Unknown
Dylan S,5,Worth doing!,Apr 2025 • Couples,2025
Radek P,5,Sunrise at Mount Batur,Apr 2025 • Family,2025
Nathan F,5,Unforgettable experience.,Mar 2025 • Couples,2025
Malika T,5,10/10 experience!,Apr 2025 • Friends,2025
Shyam Sudhakar,5,Excellent company and staff!l,Apr 2025 • Couples,2025
Lizzie,5,Breathtaking views,Unknown date,Unknown
Teneal C,5,Bucket list,Apr 2025 • Friends,2025
Alina B,5,Great day,Apr 2025 • Solo,2025
Laura M,5,Mt Batur sunrise walk and hot springs,Unknown date,Unknown
Mira M,5,Mount batur and hot springs,Unknown date,Unknown
Chloe R,5,Great adventure,Unknown date,Unknown
Janne R,5,Friendly,Unknown date,Unknown
Evgeniia,5,Batur volcano,Apr 2025 • Family,2025
Yuliya S,4,Review,Unknown date,Unknown
Kavita J,5,Amazing experience,Mar 2025 • Couples,2025
Lynda W,5,Best sunrise trek,Apr 2025 • Solo,2025
Stephen P,5,Mt Batur Sunrise Hike,Unknown date,Unknown
Amber S,5,Mount Batur hike and Hot Springs,Mar 2025 • Solo,2025
amandine m,5,PERFECT,Mar 2025 • Friends,2025
Simone M,5,Very good,Mar 2025 • Couples,2025
Scott S,5,Wonderful hike up Batur!,Mar 2025 • Friends,2025
DW,5,Mt. Batur Sunrise Hike – An unforgettable experience with breathtaking views,Unknown date,Unknown
Ellie R,5,"Friendly, quick and clear service",Unknown date,Unknown
Michael T,5,Great experience e,Mar 2025 • Solo,2025
Yenti P,5,Stunning view and loved our guide!,Mar 2025 • Friends,2025
