user,rating,review,date,year
Harsh & Leena,5,temple at the sea shore and is very beautiful,Jan 2025 • Family,2025
Sanka1 🇱🇰🇬🇧,5,Must go at sunset,May 2025 • Couples,2025
Xavierphoto,5,Incredible atmosphere!,May 2025 • Friends,2025
Jeroen_tje01,1,Terrible.,Apr 2025 • Family,2025
Marco M,4,Where the scarf of a wise man became snake and protection!,Apr 2025 • Couples,2025
James E,5,My favourite place in Bali,Apr 2025 • Family,2025
houndy11,3,Temple at the edge of the Sea,Mar 2025 • Family,2025
Spest,5,Another place I admired in Bali,Feb 2025 • Couples,2025
ShikshaC,4,Beautiful but lacks stroller access…,Apr 2025 • Family,2025
Elizabeth N,1,Commercialism gone mad,Mar 2025 • Couples,2025
Bert S,5,Bali Tour with Blue Bird,Mar 2025 • Couples,2025
Akhun Khunzz,5,Land lot bali,Apr 2024 • Couples,2024
Vasudev68,5,A must place to visit,Mar 2025 • Business,2025
Jelajah Nusantara Indonesia,5,Road to Lot's Land,Nov 2024 • Business,2024
simone,4,Good place to take photo,Jan 2025 • Couples,2025
Rajesh K K,4,Temple in the Sea!,Jan 2025 • Solo,2025
chamane974,2,Pass your way,Feb 2025 • Family,2025
BALITRANSPORTS.ID,5,Destinations Worth Visiting,Nov 2024 • Business,2024
Pacheli,4,Depends.,Jan 2025 • Solo,2025
Игорь,5,It's worth coming.,Jan 2025 • Family,2025
KieraTin603,5,Beautiful at sunset be mindful of aggressive stealing monkeys!,May 2024 • Friends,2024
Dmitry,2,Very underwhelming,Jan 2025 • Solo,2025
Our Trip Bali,5,Nice sunset,Jan 2025 • Family,2025
Sanjey B,5,Tanah Lot Temple Review,Jan 2025 • Couples,2025
Marnelli,5,A Sacred and Unforgettable Cultural Experience,Dec 2024 • Couples,2024
Marc v W,4,Nice & nice,Dec 2024 • Couples,2024
Minowe,4,Superb location,Oct 2024 • Couples,2024
Sewa Hiace Bali,5,Pura Land of Lot,Nov 2024 • Business,2024
Andrés A,4,Full of tourists,Nov 2024 • Couples,2024
Leigh C,4,Go when it is full moon,Dec 2024 • Couples,2024
Ferry en Marsch... L,5,A must see,Aug 2024 • Family,2024
daniele c,4,One of the Balinese temples by the sea,Aug 2024 • Couples,2024
Dirk W,4,Picture opportunity,Aug 2024 • Couples,2024
Olivier,4,Good spot but to be visited depending on tide timetables,Aug 2024 • Solo,2024
Anggita Deska,4,Ojek online wont pick up here!!,Jul 2024 • Friends,2024
Bediya K,5,1 of the most beautiful temple in Bali,Aug 2024 • Family,2024
Patrick S,4,Temples,Jul 2024 • Couples,2024
Scott L,4,An essential location to see when in Bali.,Aug 2024 • Family,2024
