user,rating,review,date,year
Fateme B,5,Amazing,May 2025 • Solo,2025
Iris M,5,Great experience!,May 2025 • Solo,2025
Laurie E,5,Silver making class,May 2025 • Couples,2025
GSxo,5,Great silver class!,Apr 2025 • Friends,2025
Christina M,5,Unforgettable immersion in culture.,Unknown date,Unknown
GoldGypsy,5,"Cultural experience, a little off the beaten track.",Apr 2025 • Couples,2025
majacupuncture,5,Learn how to make traditional Balinese coconut oil.,Apr 2025 • Family,2025
Caitlin L,5,Wonderful Ubud experience,Apr 2025 • Couples,2025
Joey,5,Super Fun!,Mar 2025 • Friends,2025
Elizabeth G,5,Wonderful experience,Mar 2025 • Couples,2025
Annette F,5,Fabulous,Mar 2025 • Family,2025
Emma R,5,High recommend experience,Feb 2025 • Solo,2025
Adrienne,5,I got to make a beautiful ring,Feb 2025 • Solo,2025
Jessie H,5,Our whole family loved this!,Unknown date,Unknown
Stephanie B,5,Great find and great deal!,Jan 2025 • Couples,2025
Sophie C,5,A one off experience!,Dec 2024 • Couples,2024
Mar W,5,Amazing experience,Dec 2024 • Couples,2024
Voyage653831,5,Highly recommend!!,Nov 2024 • Couples,2024
NorthStar730696,5,Just do it!,Dec 2024 • Solo,2024
DayTrip36879128635,5,Highly reccomend this workshop!!,Nov 2024 • Couples,2024
Candace M,5,Great silver jewelry class,Unknown date,Unknown
Nico01113,5,Great experience,Aug 2024 • Friends,2024
arfan g,5,Staycation with family,Jul 2024 • Family,2024
Munira A,5,The best experience,Jul 2024 • Friends,2024
Benabdalmalek Z,5,One of the best experiences in Bali,Jul 2024 • Family,2024
Sara L,5,Fun Process and Beautiful Rings!,Jul 2024 • Friends,2024
christophe l,5,EXCELLENT EXPERIENCE,Unknown date,Unknown
Vanessa S,5,Jewellery making in Ubud,Jul 2024 • Family,2024
James H,5,A must-do,Jun 2024 • Couples,2024
Chantelle H,5,Ubud silver jewellery class,Jun 2024 • Couples,2024
Harrison B,5,Taro Silver Jewellery making experience,Jun 2024 • Couples,2024
Chantelle H,5,Traditional Taro village experience,Jun 2024 • Couples,2024
Harrison B,5,Exceptional Taro Traditional village experiance,Jun 2024 • Couples,2024
Jenny K,5,Great experience for everyone,Jun 2024 • Family,2024
Anthony Richard G,5,Made a Silver Ring!,Jun 2024 • Friends,2024
papa_soey,5,Ubud souvenirs you have to earn!!,Unknown date,Unknown
Ubud B,5,Best Silver Jewelry Class in Ubud Bali,May 2024 • Solo,2024
Rosanne v,5,Real authentic Bali experience,Unknown date,Unknown
Gyungeun L,5,Recommend,Apr 2024 • Family,2024
Manuela G,5,Homemade souvenir,Unknown date,Unknown
Carly P,5,Must do!,Apr 2024 • Family,2024
Sky,5,Love the rings we made!,Mar 2024 • Couples,2024
Sue T,5,Silver making,Mar 2024 • Couples,2024
Leon G,5,Fun with silver,Mar 2024 • Family,2024
Ben,5,Fantastic silver making class,Mar 2024 • Couples,2024
Damian W,5,I made a necklace piece from beginning to end,Mar 2024 • Solo,2024
Bek S,5,Amazing silver making class,Mar 2024 • Friends,2024
Candace W,5,Great jewellery making experience!,Mar 2024 • Solo,2024
Sophia S,5,Highly recommend,Mar 2024 • Couples,2024
Matthew B,5,A great experience!,Feb 2024 • Family,2024
Sergey Tyan,5,You will create jewelry that you will love to wear!,Feb 2024 • Couples,2024
Takira Y,5,Highly recommend!,Feb 2024 • Couples,2024
aqib h,5,Best jewellery class,Feb 2024 • Couples,2024
steph D,5,High recommended jewelry lessons. ❤️,Feb 2024 • Family,2024
Hannah D,5,Beautiful experience!,Nov 2023 • Solo,2023
Emmy L,5,Unique creative experience!,Jan 2024 • Friends,2024
Sara Selene Man... F,5,Love it,Jan 2024 • Friends,2024
Jasmine F,5,Ring making class,Dec 2023 • Couples,2023
Nasiba1009,5,Creat experience,Jan 2024 • Solo,2024
Kelly P,5,AMAZING!!!,Jan 2024 • Family,2024
Trek41570205895,5,A great experience to remember,Sep 2023 • Couples,2023
Lena S,5,Great experience,Sep 2023 • Couples,2023
