user,rating,review,date,year
Amy B,5,Great evening,May 2025 • Family,2025
Khatya Abreu,4,Uluwatu Kecak and dinner,Unknown date,Unknown
zary,5,"Uluwatu Travel, the best guide",May 2025 • Couples,2025
Jaclyn K,5,5 stars!!,Unknown date,Unknown
Robert A,5,Suta is a Great Tour Guide,May 2025 • Couples,2025
Camilla D,5,Excellent,May 2025 • Couples,2025
Jananthan M,5,Tourist,May 2025 • Couples,2025
Paula1958liverpool,4,Still worth the trip,Unknown date,Unknown
Muiz H,5,Arts meet culture meet scenic view,Unknown date,Unknown
Peti S,5,Eco Bali Tour for the win.,May 2025 • Family,2025
Colin B,5,Evening Trip In Bali,Apr 2025 • Couples,2025
Julie B,5,Great evening out with Darma the Fun Driver!,Unknown date,Unknown
VictorHedman91,5,Really Cool Experience,May 2025 • Couples,2025
Haikel D,5,Beautiful and fun experience!,Unknown date,Unknown
Diego A,5,"Budi, the great guide and friend!",May 2025 • Friends,2025
Cobi K,5,Bali,May 2025 • Family,2025
Krysel,5,Excellent Tour,Apr 2025 • Couples,2025
Tzu-ting H,5,Very nice !!!,May 2025 • Friends,2025
Makayla D,5,Must do!!,May 2025 • Couples,2025
Matthew C,5,Temple tour+ beach dinner,May 2025 • Couples,2025
Tom G,5,Great trip at Uluwatu,May 2025 • Friends,2025
Ruth T,5,Great cultural experience,Unknown date,Unknown
David R,5,Sunset,Unknown date,Unknown
Roland Karner,4,Tolle Tanzshow,Unknown date,Unknown
Caroline C,5,Fun day,Unknown date,Unknown
yuvikapuru,5,Great experience,May 2025 • Solo,2025
Perla H,5,Dance Uluwatu kecak and dinner,May 2025 • Solo,2025
Khalil B,5,"Budi, the best host and driver!",May 2025 • Couples,2025
Sonia S,5,Our great final evening in Bali,Unknown date,Unknown
Claire P,5,"Uluwatu Temple, Kecak Dance and Dinner",May 2025 • Family,2025
Kris T,5,Best tour guide ever Iluwatu,Unknown date,Unknown
Thomas A,5,Insane experience,May 2025 • Solo,2025
Ryan V,5,"Magic, culture and flavours in the heart of Bali",Unknown date,Unknown
Lauren B,5,Amazing service!!,May 2025 • Friends,2025
Charlotte G,5,Darma the Fun Driver,May 2025 • Couples,2025
Storyteller341274,5,"Uuluwato Temple , Kekak Dance",May 2025 • Couples,2025
Craig W,5,Uluwatu Temple & Fire Dance,May 2025 • Couples,2025
Danny W,5,Worth the trip,Unknown date,Unknown
Jasmine A,5,Explore the city and eat some great food,May 2025 • Family,2025
217jarmstrong,5,He was such a good driver and host,May 2025 • Family,2025
Paehuka,5,"Gusti was very polite and generous. Great driver, safe and quick. Very good photographer. Knowledgable guide about Bali culture.",Unknown date,Unknown
Danielle B,3,"Great tour guide, terrible food, Jimbaran Kampoeng Seafood restaurant",Unknown date,Unknown
Jack V,5,Watch out for the monkeys!,Unknown date,Unknown
Hannah H,5,Amazing night to experience!,Apr 2025 • Couples,2025
Spencer L,5,Great views and experience!,Apr 2025 • Family,2025
Giuseppe,5,The true nature of Uluwatu,Apr 2025 • Couples,2025
Josh N,5,Thanks Mr. Suta!!,Mar 2025 • Couples,2025
Scenic677440,5,Amazing,Unknown date,Unknown
Suzanne W,5,Amazing Kecak dance with beautiful sunset views from temple,Unknown date,Unknown
Eduardo B,1,Stuck in traffic (2.5 hrs) to watch something 40 min then 2 hours to go back to Bali,Unknown date,Unknown
Lou,5,Amazing! Thank’s Suta 🙏🏻,Unknown date,Unknown
Harsharan K,5,Dharma fun driver,Apr 2025 • Family,2025
Natalie M,5,Wonderful Sunset Experience,Apr 2025 • Family,2025
Jasmine S,4,Interesting cultural experience,Mar 2025 • Friends,2025
Matt D,5,Sunset experience,Unknown date,Unknown
Raegan V,5,"Excellent guide, can't miss Kecak dance and temple",Apr 2025 • Couples,2025
Kristen F,5,Sunset temple visit,Unknown date,Unknown
Lynn R,5,Great Tour,Apr 2025 • Friends,2025
judulucu,5,Beautiful view and amazing performance make a wonderful evening,Apr 2025 • Friends,2025
Tour519077,5,Fantastic Uluwatu temple tour/show and seafood dinner,Apr 2025 • Family,2025
MCFox2013,5,A pleasant evening at Uluwatu,Unknown date,Unknown
Rebecca T,5,Fantastic 5⭐️,Apr 2025 • Family,2025
Destany B,5,Darma Fun Driver,Apr 2025 • Family,2025
raghu Nath,5,Wuluwatu kecak and fire dance trip,Unknown date,Unknown
Marcin K,5,Thank you Wayan,Apr 2025 • Couples,2025
Noah A,5,Great Driver and Friendly Person,Unknown date,Unknown
