user,rating,review,date,year
sammygt09,2,Waterbom Bali experience,May 2025,2025
Liz T,5,Amazing day out at waterbom.,May 2025 • Family,2025
mailvijay67,4,Wonderful experience a waterbom bali park,May 2025 • Family,2025
Dalila351,3,Few rides. Expansive.,May 2025 • Family,2025
Paul R,2,One day of fun for four days of Bali belly..,May 2025 • Family,2025
melsue81,5,Amazing Experience,May 2025 • Family,2025
Julie T,5,A great day out!,May 2025 • Family,2025
tiphainemalherbe,5,Great family day!,May 2025 • Family,2025
Nathan R,5,Good spot,May 2025 • Family,2025
graemeandjill12,5,Excellent,May 2025 • Family,2025
lkewl,5,Waterbom is a great value fun day for all,May 2025 • Family,2025
Tracey B,5,Waterbom - family if 5,May 2025 • Family,2025
Benno05,5,Not Siam park but still excellent!,Unknown date,Unknown
erlina,5,Cool place to hang out with family,Jan 2025 • Family,2025
gdale7,5,Great family fun,Apr 2025 • Family,2025
dave h,5,Waterbom kuta,Apr 2025 • Family,2025
Jan L,5,This is where you must have been with your teenagers.,Apr 2025 • Family,2025
Tania C,5,Every Trip to Bali must include a visit to Waterbom,Apr 2025 • Family,2025
GrandTour00066005062,5,Amazing place,Apr 2025 • Family,2025
KLFtraveller,5,Cabana in oasis gardens worth it!,Apr 2025 • Family,2025
Laarenco,5,Fam.,Apr 2025 • Family,2025
pjmaxwell05,5,Loved every moment ❤️,Apr 2025,2025
László S,5,Cool splash in a nice park,Unknown date,Unknown
aaronjhall,5,A day of excitement,May 2025,2025
Dinoorin,5,Excellent day,May 2025 • Couples,2025
zulfikarmotiwala,5,Excellent!!,Apr 2025 • Family,2025
Michael J,5,Excellent attraction to visit,Apr 2025 • Family,2025
kevanslocke,5,Great time at Waterbom,Apr 2025 • Family,2025
AC123456789876t4321,5,Has an absolute cracker of a day,Apr 2025,2025
Beth R,5,Great day out,Apr 2025 • Family,2025
Jules C,4,Another great visit,Apr 2025 • Family,2025
jmcinnis221,5,Great place!,Apr 2025 • Family,2025
lilja2025,5,Highly recommend!,Apr 2025 • Family,2025
nancy_g2619,5,Excellent place to visit,Apr 2025 • Family,2025
loganwooster49,5,Best water park,Apr 2025 • Family,2025
Victoria784744,5,Waterbom Bali,Apr 2025,2025
slheelas,4,April 2025,Apr 2025 • Family,2025
joedirt11,5,Amazing friendly staff.,Apr 2025 • Family,2025
lisajanemacd,2,No Gazebo's Available,Apr 2025 • Family,2025
gongagoodes,5,Family day out,Apr 2025 • Family,2025
Prashant V,5,Amazing fun for full family!,Apr 2025 • Family,2025
Robyn B,5,Fantastic Waterbom Park Experience,Apr 2025 • Family,2025
Tanya G,5,Great way to spend the day!,Apr 2025,2025
Rhi84,5,Great day out with kids … big and little !,Mar 2025 • Family,2025
Robert B,5,Waterbom is the Best!,Apr 2025 • Family,2025
topanenergy,1,Bad experience on finding chair,Unknown date,Unknown
Lindsay H,5,Awesome day,Apr 2025 • Family,2025
annacostanzo4,5,Family Fun,Apr 2025 • Family,2025
darrenpollard,2,Over crowded,Apr 2025 • Family,2025
nathancsmith74,5,Awesome,Apr 2025 • Family,2025
raditia83,4,Gelato staff was rude,Apr 2025 • Family,2025
missozkelly,5,Absolute must visit for families,Apr 2025 • Family,2025
Rachel H,5,Definitely recommend highly!,Apr 2025,2025
David,5,A Great Day Out.,Apr 2025,2025
Rap,5,Fantastic day out,Unknown date,Unknown
RooDog35,5,Waterbom review,Apr 2025 • Family,2025
Robert,5,"Could not fault it, haven in quite a hectic area. Beautiful water park set in lovely jungle setting, rides are brilliant",Unknown date,Unknown
yazzie1989,5,Wonderful experience,Apr 2025,2025
leeking2018,5,Bali Waterbom March 2025,Mar 2025 • Family,2025
Roving30849350672,5,A beautiful and professional water park,Mar 2025 • Family,2025
Experience223727,5,Lots of Fun,Mar 2025 • Family,2025
Colgan99A,5,A fantastic day out for all ages,Mar 2025,2025
shandelledayman,1,Severely unwell after our visit,Mar 2025 • Family,2025
390jackie,5,Amazing,Mar 2025 • Family,2025
Kadek erawan,5,The best experience ever,Unknown date,Unknown
HonestReviews2009,5,Honest Review - The good and bad - AMAZING Waterpark,Mar 2025 • Couples,2025
mezzemma,5,Must visit!,Mar 2025 • Family,2025
Robin  D,5,Perfect,Feb 2025 • Couples,2025
leandareeve,5,"Great day out, for all !",Mar 2025,2025
Brett G,5,Waterbomb still rocks!!!!,Mar 2025 • Family,2025
ALOICE Steff41,4,Amazing,Mar 2025 • Couples,2025
kieranwhalley,5,Great day for the kids,Feb 2025 • Family,2025
547sandy2025,5,Excellent day out,Mar 2025 • Family,2025
Caitlyn R,5,fun waterpark!,Unknown date,Unknown
gcbennett8,4,Nice day out!,Mar 2025 • Family,2025
