user,rating,review,date,year
Mary,2,Lost it's Appeal,May 2025 • Couples,2025
Jason Bourne,3,Be very careful of the climb,May 2025 • Couples,2025
Logane B,5,Nice.,May 2025 • Couples,2025
Xavierphoto,5,Rice fields and nothing picturesque,May 2025 • Friends,2025
We Travel the World,5,Beautiful rice terraces,Apr 2025 • Friends,2025
MURIA TRAVEL,5,Traveling to Muria Travel,Nov 2024 • Family,2024
Amanda,2,Overrated tourist trap,Apr 2025 • Family,2025
Aleh,3,So so,Apr 2025 • Couples,2025
Francesco D,4,Beautiful but tiring,Aug 2024 • Friends,2024
Anastasia B,5,Beautiful,Apr 2025 • Solo,2025
Kim A,2,Disappointed. A park not rice fields,Apr 2025 • Family,2025
Sara,3,Perhaps the most touristic place in Bali,Mar 2025 • Couples,2025
Gavin H,5,Highly recommend this spa and therapy.,Apr 2025 • Couples,2025
Nadeen Whitehead,4,Beautiful experience,Apr 2025 • Couples,2025
matildadavis07,5,loved it !,Apr 2025 • Friends,2025
hagainapaulina,5,Tourisity area,Apr 2024 • Couples,2024
Gerd_Shanghai,5,Nice views and decent food,Feb 2025 • Couples,2025
Gareth C,3,"Gorgeous Place, But a Tourist Hotspot!",Oct 2024 • Solo,2024
Anty v,1,Commercial business!!,Feb 2025 • Friends,2025
Philipp K,5,Worth a visit -> Thank you John,Oct 2024 • Family,2024
alohatripper,3,Not comparable to Jatiluwih Green Land rice terraces,Jan 2025 • Friends,2025
seema60,4,Lovely rice terraces in Ubud,Feb 2025 • Solo,2025
Iulian Parvu,5,Breathtaking Views at Tegalalang Rice Terrace,Oct 2024 • Couples,2024
SandraWie,1,Tourist staircase,Feb 2025 • Couples,2025
Violaine et Florent,4,What to do,Feb 2025 • Family,2025
Eddy tour kuta,5,Best Spot for Lunch,Jan 2025 • Business,2025
Usia2014,5,Beautiful place,Nov 2024 • Couples,2024
Rajesh K K,3,Overrated place,Jan 2025 • Solo,2025
Tim Li,1,Horrible Tourist Trap with Horrendous Staff,Jan 2025 • Couples,2025
Pernille Røjbæk S,4,Really good experience with beautiful nature,Jan 2025 • Couples,2025
Tommy,4,"Hot,but nice to see!",Jan 2025 • Couples,2025
Mohammed Ashhar A,2,Rice Terrace,Jan 2025 • Couples,2025
Lennoncp,3,Ubud rice terrace,Jan 2025 • Couples,2025
KieraTin603,5,Breathtaking and informative.,May 2024 • Friends,2024
Alovestravel,5,It was entertaining to watch folks on the large swings and had great photo opportunities.,Jan 2025 • Family,2025
Our Trip Bali,5,"Awesome view , very recommend",Jan 2025 • Business,2025
Jubin Edachery,5,Stunning nature,May 2024 • Family,2024
Marnelli,4,A Fun Adventure with Room for Improvement,Dec 2024 • Couples,2024
kashgo,2,Not worth the price when there are free places,Dec 2024 • Solo,2024
Maki M,4,Worth the visit,Dec 2024 • Couples,2024
Emilie,2,Busy amusement park with rice fields,Dec 2024 • Couples,2024
Simone C,3,Non-mandatory stage,Dec 2024 • Friends,2024
CK,5,An enjoyable visit to Ubud for some beautiful greenery,Dec 2024 • Family,2024
SydneyMummytraveller,4,Beautiful spot. Worth a visit,Dec 2024 • Family,2024
Jonique Life,5,Rice Terrace,Dec 2024 • Couples,2024
Where2next,4,Spectacular Rice Fields,Dec 2024 • Family,2024
Gaby C,1,Ruined and Plastic. Avoid,Dec 2024 • Family,2024
Komeng,5,The beautiful place,Dec 2024 • Friends,2024
Vishal,5,Beautiful Scenery,Nov 2024 • Couples,2024
Joel Love,5,"A must do, when coming to Bali. You simply must visit a see the beauty and culture of places like the rice terraces. Parking is",Nov 2024 • Couples,2024
Pascal R,4,Friendly place,Oct 2024 • Family,2024
True Travel Bali,5,Good.,Oct 2024 • Business,2024
MichelM_Delft,4,Beautiful,Sep 2024 • Couples,2024
Sarah,5,Indescribable beautiful place,Sep 2024 • Couples,2024
Heath,3,They'll charge you for your entrance.,Sep 2024 • Family,2024
Traveller,2,Disappointing,Oct 2024 • Couples,2024
Amit J,4,Nice scenery and Bali Swing,Jul 2024 • Couples,2024
Niout,5,Beautiful rice fields,Sep 2024 • Couples,2024
Naveen,4,Greenery all around,Sep 2024 • Couples,2024
BangorLocal,4,Fields of view,Sep 2024 • Couples,2024
Stuart Towers,5,Rice terrace,Sep 2024 • Couples,2024
Bruce W,5,Have to go,Sep 2024 • Couples,2024
Camille M,5,To do,Sep 2024 • Family,2024
Audrey,5,Things to see during your stay in Ubud,Sep 2024 • Couples,2024
Roger W,5,Symbol of Ubud and surroundings,Aug 2024 • Couples,2024
Pernille DA,4,Scenic and unique beauty,Jul 2024 • Family,2024
daniele c,4,Wonderful rice fields,Aug 2024 • Couples,2024
