user,rating,review,date,year
Brian E,3,Disappointing,Feb 2025 • Solo,2025
Cath A,5,Relaxing batik at Nyoman Warra Batik class,Jan 2025 • Solo,2025
Dreamer02281099311,5,A wonderful personalized hands-on tutorial of the traditional Batik craft,Dec 2024 • Couples,2024
Мариам Т,5,Relax,Nov 2024 • Solo,2024
Jina,5,Family trip with children!,Nov 2024 • Family,2024
joyschouten,5,Lovely workshop and knowledgeable crafters,Nov 2024 • Friends,2024
jessica r,5,Experience fantastic creation Batik,Sep 2024 • Couples,2024
Laura O,5,Amazing!,Aug 2024 • Couples,2024
Hope F,5,Painting in Ubud,Jul 2024 • Friends,2024
Mónica S,5,A great teacher!,Aug 2024 • Solo,2024
anjana,5,Excellent class!,Aug 2024 • Family,2024
Greg H,5,Recommend,Aug 2024 • Couples,2024
Audrey D,5,A beautiful discovery!,Aug 2024 • Family,2024
Erin K,5,Great experience! Would go again!,Jul 2024 • Solo,2024
Melly G,5,10/10 Authentic Amazing Batik experience,May 2024 • Friends,2024
Claudia V,5,Best Batik workshop in Ibud,May 2024 • Solo,2024
Dream11016623495,5,Wholesome experience,May 2024 • Family,2024
Sofia L,5,It was an amazing experience! The people were so helpful and nice throughout the process. Strongly recommend it!!,May 2024 • Solo,2024
Devon Maid,5,Lovely Batik class with friendly family,Apr 2024 • Business,2024
Coastal36019912461,5,Best day in UBUD,Apr 2024 • Family,2024
MoFi,5,Make a piece of art with wonderful help,Apr 2024 • Solo,2024
Wanderer62371264307,5,Amazing,Apr 2024 • Friends,2024
Nancy C,5,"Convenient location, easy to start teaching",Apr 2024 • Solo,2024
Tash G,5,A relaxing and fun art class,Apr 2024 • Couples,2024
Rebecca D,5,Switch off from reality and lose yourself in art!,Apr 2024 • Friends,2024
Michele P,5,Wonderful batik class right in town!,Mar 2024 • Family,2024
Rachel R,5,Authentic Batik experience,Mar 2024 • Couples,2024
Shivani S,5,Memorable experience,Mar 2024 • Friends,2024
Mila,5,Great experience,Mar 2024 • Solo,2024
Laura W,5,A totally unique experience in Ubud,Mar 2024 • Solo,2024
Paul K,5,The best batik painting workshop,Oct 2023 • Couples,2023
Naomi P,5,Wonderful Batik class in Ubud!,Sep 2023 • Solo,2023
Quentin N,5,Fantastic !!,Sep 2023 • Couples,2023
karina,5,Worth a visit,Sep 2023 • Couples,2023
Sofi d,5,Amazing batik class,Sep 2023 • Solo,2023
Katie W,5,Unique and Traditional Day Out,Sep 2023 • Couples,2023
Pioneer484543,5,Fantastic,Aug 2023 • Family,2023
Claire D,5,Great!,Aug 2023 • Solo,2023
Beca E,5,Amazing authentic batik class,Aug 2023 • Couples,2023
Gianmarco,5,Amazing experience,Aug 2023 • Couples,2023
Ju Ju,5,"Great class, great instruction",Jul 2023 • Family,2023
Katie F,5,Amazing art class,Jul 2023 • Solo,2023
Amanda,5,One of a kind in Bali ♥️♥️♥️♥️,Jun 2023 • Solo,2023
Lilly H,5,Wonderful Experience with a Family Owned Batik Class,Jun 2023 • Solo,2023
Monica D,5,Learn from a family of artists,Jun 2023 • Couples,2023
Yixin S,5,Must do in Ubud!,Jun 2023 • Family,2023
Happiness61981021795,5,THE BEST BATIK LESSON IN BALI,May 2023,2023
Jays T,5,A great experience and lesson,May 2023 • Family,2023
Cassandra,5,Batik Art Class,May 2023 • Solo,2023
Allison C,5,Best Balinese Art Class!!,May 2023 • Friends,2023
Kari,5,Authentic experience in the heart of Ubud,Apr 2023 • Friends,2023
Michelle T,5,Fun and relaxing activity in the middle of Ubud!,Apr 2023 • Family,2023
MarisiaMuir,5,Mindfulness painting for the whole family,Apr 2023 • Family,2023
Qasim S,5,Wonderful introductory experience to traditional Batik methods,Apr 2023 • Friends,2023
Lisa B,5,Good!,Mar 2023 • Friends,2023
Amy K,5,Would absolutely recommend!,Apr 2023 • Friends,2023
Jennifer C,5,Relaxing afternoon learning Batik,Mar 2023 • Family,2023
Michelle R,5,Great batik painting class in Ubud City Centre,Mar 2023 • Solo,2023
Lisa Y,5,Amazing batik class - hidden gem!,Mar 2023,2023
Rosemary D,5,Perfect Batik Class,Mar 2023 • Friends,2023
spoolmak54,5,Wonderful batik learning,Dec 2022 • Friends,2022
Stefanie,5,"Fun, genuine experience!",Nov 2022,2022
Wenjin H,5,"Come for batik, stay for friendship",Nov 2022 • Couples,2022
Aurore B,5,Meditate while learning batik,Nov 2022,2022
krawner,5,Make your own batik!,Oct 2022 • Friends,2022
Passagne T,5,Amazing !,Oct 2022 • Solo,2022
296Kat,5,Unique experience,Oct 2022 • Solo,2022
Joan G,5,Amazing experience learning and making a beautiful batik,Oct 2022 • Solo,2022
jokikay,5,Batik class with Nyoman,Oct 2022 • Family,2022
Marcy,5,Such a fun balinese experience,Sep 2022 • Friends,2022
Elsa A,5,Wonderful learning experience,Aug 2022 • Friends,2022
Nic,5,Loved it!! 🙏🌸👍,Aug 2022 • Family,2022
Chloe P,5,Amazing!,Aug 2022 • Solo,2022
Charmaine H,5,Great way to spend a morning!,Jul 2022 • Solo,2022
Denis W,5,Very good,Jul 2022 • Couples,2022
Mariam L,5,An amazing experience!,Jul 2022 • Solo,2022
kev s,5,Beautiful Batik Art,Jul 2022 • Couples,2022
